Job_ID,Titre,Societe,Description,Skills,Categories,Annees_Experience,Niveau_Experience,Education,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
miss-2l-conseillere-en-vente-beaute-a-grombalia,conseillère en vente / beauté a grombalia,MISS 2L,,* Expérience en vente et conse...,Freelance,Sans expérience,,,750 DT,,"CDI, CIVP, CDD",Présentiel,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/miss-2l/jobs/miss-2l-conseillere-en-vente-beaute-a-grombalia
soowe-community-manager-assistant-digital-marketing-remote,Community Manager-Assistant Digital Marketing (Remote),soowe,,Proactivité | Autonomie,Freelance,1-2 ans,,,850 DT,,CDI,Télétravail complet,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/soowe/jobs/soowe-community-manager-assistant-digital-marketing-remote
dma-direct-medical-assistance-offre-demploi-qa-and-support-technique-plateforme-medicale-h-f,Offre d’emploi : QA & Support technique – Plateforme médicale (H/F),DMA- Direct Medical Assistance,,"•	Première expérience en QA, s...",Freelance,2-5 ans,,,3000 DT,,"CDD, CDI, Freelance",Hybride,2025-08-25,Publié:il y a 7 mois,,Freelance,https://www.tunijobs.com/company/dma-direct-medical-assistance/jobs/dma-direct-medical-assistance-offre-demploi-qa-and-support-technique-plateforme-medicale-h-f
re-searchlight-professionnelle-de-sante,Professionnelle de santé,Medspeakers,,"Rigueur et autonomie dans la g... | Patience, bienveillance et sen... | Esprit d’équipe",Freelance,6-12 mois,,,Confidentiel,,CIVP,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/medspeakers/jobs/re-searchlight-professionnelle-de-sante
voicecom-teleoperateurs-experimentes-dans-les-centres-dappels-francophones,Téléopérateurs expérimentés dans les centres d'appels francophones,VOICECOM,,excellente communication verba...,Freelance,1-2 ans,,,1200 - 1300 DT,,CDI,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/voicecom/jobs/voicecom-teleoperateurs-experimentes-dans-les-centres-dappels-francophones
kopileft-services-responsable-rh-junior,Responsable RH Junior,kopiLeft Services,,RH Généraliste,Freelance,1-2 ans,,,Confidentiel,,"CIVP, CDI",Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/kopileft-services/jobs/kopileft-services-responsable-rh-junior
dorra-deco-architecte-dinterieur,Architecte d'intérieur,Dorra Deco,,"Motivant, avoir le sprit de gr...",Freelance,Sans expérience,,,Confidentiel,,CIVP,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/dorra-deco/jobs/dorra-deco-architecte-dinterieur
kopileft-services-ingenieurs-developpement-software-promotion-2025,Ingénieurs Développement Software - Promotion 2025,kopiLeft Services,,Parcours Ingénieur généraliste...,Freelance,Sans expérience,,,1500 - 2500 DT,,CIVP,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/kopileft-services/jobs/kopileft-services-ingenieurs-developpement-software-promotion-2025
climodpro-superviseur-service-apres-vente-sav,Superviseur Service Après-Vente (SAV),ClimodPro,,génie mécanique | électromécanique | aisance relationnelle,Freelance,5-7 ans,,,Confidentiel,,CDI,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/climodpro/jobs/climodpro-superviseur-service-apres-vente-sav
bioplast-visiteur-medical-junior-articles-pour-bebes,Visiteur Médical Junior,BIOPLAST,,Le poste convient pour des can... | Nous proposons un salaire fixe...,Freelance,1-6 mois,,,Confidentiel,,CIVP,Hybride,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/bioplast/jobs/bioplast-visiteur-medical-junior-articles-pour-bebes
sit-controls-tunisia-responsable-production-et-process,Responsable Production et Process,SIT CONTROLS TUNISIA,,Production | process | amélioration continue,Freelance,2-5 ans,,,Confidentiel,,CDI,Présentiel,2025-07-26,Publié:il y a 8 mois,,Freelance,https://www.tunijobs.com/company/sit-controls-tunisia/jobs/sit-controls-tunisia-responsable-production-et-process
rosenberger-tunisia-techniciens-maintenance,Techniciens maintenance,Rosenberger Tunisia,,maintenance industrielle,Freelance,Sans expérience,,,1100 DT,,CDI,Présentiel,2025-06-26,Publié:il y a 9 mois,,Freelance,https://www.tunijobs.com/company/rosenberger-tunisia/jobs/rosenberger-tunisia-techniciens-maintenance
altaservice-charge-e-qualite,Chargé(e) Qualité,ALTA SERVICES,,Rien à signaler,Freelance,2-5 ans,,,1200 - 1800 DT,,"CDI, CIVP, CDD",Présentiel,2025-06-26,Publié:il y a 9 mois,,Freelance,https://www.tunijobs.com/company/alta-services/jobs/altaservice-charge-e-qualite
altaservice-responsable-production,Responsable production Callcenter,ALTA SERVICES,,Rien à signaler,Freelance,2-5 ans,,,1500 - 2500 DT,,"CDI, CIVP, CDD",Présentiel,2025-06-26,Publié:il y a 9 mois,,Freelance,https://www.tunijobs.com/company/alta-services/jobs/altaservice-responsable-production
altaservice-charge-e-client-en-reception-dappel,Chargé(e) Client En Réception D'Appel,ALTA SERVICES,,Rien à signaler,Freelance,2-5 ans,,,1000 - 1500 DT,,"CDI, CDD, CIVP",Présentiel,2025-06-26,Publié:il y a 9 mois,,Freelance,https://www.tunijobs.com/company/alta-services/jobs/altaservice-charge-e-client-en-reception-dappel
ste-al-mohandes-des-travaux-generaux-chef-de-chantier,Chef de chantier,Société Almohandes des Travaux Généraux,,Permis B,Freelance,1-2 ans,,,1000 DT,,"CIVP, Al Karama, CDD",Présentiel,2025-06-26,Publié:il y a 9 mois,,Freelance,https://www.tunijobs.com/company/ste-al-mohandes-des-travaux-generaux/jobs/ste-al-mohandes-des-travaux-generaux-chef-de-chantier
sotuchoc-magasinier-emballage-mp-pf,Magasinier Emballage / MP / PF,SOTUCHOC,,Gestion de stock,Freelance,1-2 ans,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-05-27,Publié:il y a 10 mois,,Freelance,https://www.tunijobs.com/company/sotuchoc/jobs/sotuchoc-magasinier-emballage-mp-pf
sotuchoc-assistant-e-rh,Assistant(e) RH,SOTUCHOC,,Administration du personnel,Freelance,1-2 ans,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-05-27,Publié:il y a 10 mois,,Freelance,https://www.tunijobs.com/company/sotuchoc/jobs/sotuchoc-assistant-e-rh
sotuchoc-technicien-superieur-en-genie-mecanique,Technicien Supérieur en Génie Mécanique,SOTUCHOC,,Maintenance Mécanique,Freelance,1-2 ans,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-05-27,Publié:il y a 10 mois,,Freelance,https://www.tunijobs.com/company/sotuchoc/jobs/sotuchoc-technicien-superieur-en-genie-mecanique
sotuchoc-technicien-superieur-en-genie-electrique,Technicien Supérieur en Génie Electrique,SOTUCHOC,,Maintenance électrique,Freelance,1-2 ans,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-05-27,Publié:il y a 10 mois,,Freelance,https://www.tunijobs.com/company/sotuchoc/jobs/sotuchoc-technicien-superieur-en-genie-electrique
sotuchoc-ingenieur-chef-atelier-production,Ingénieur Chef d'Atelier Production,SOTUCHOC,,Connaissances en ISO 9001 et 2... | Industries agroalimentaires,Freelance,6-12 mois,,,Confidentiel,,"CDI, CIVP",Présentiel,2025-05-27,Publié:il y a 10 mois,,Freelance,https://www.tunijobs.com/company/sotuchoc/jobs/sotuchoc-ingenieur-chef-atelier-production
