Job_ID,Titre,Societe,Description,Categories,Annees_Experience,Niveau_Experience,Salaire,Lieu,Type_Contrat,Mode_Travail,Date_Publication,Date_Relative,Expire,Source,Lien
237968,Coordinateur marketing,AZIZA,"AZIZA, enseigne leader de la grande distribution en Tunisie et filiale d’un groupe de renom, poursuit sa croissance et renforce ses équipes en recrutant un(e) Coordinateur(trice) Marketing.Vos principales responsabilités : Gérer le …",commerce / vente / distribution,,,,"Ben Arous, Ben Arous",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237968/coordinateur-marketing/
237970,Assistant de Manager de communication,Entreprise Anonyme,Niveau d’études :Bac+5 ou supérieurExigences linguistiques :Maîtrise du français et de l’anglais (maîtrise du français et chinois est également acceptable)Profil :1.Se familiariser avec les processus et procédures locales tunisiennes dans la secteur de BTP ou y …,,,,1000 - 2000 TND,"Jarzouna, Bizerte",CDI | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237970/assistant-de-manager-de-communication/
237973,Technicien réseaux et informatique,TRUSTSAFE SECURITY,📌 Missions :• Installation et maintenance des systèmes d’alarme• Installation des caméras de vidéosurveillance• Maintenance des ordinateurs et équipements informatiques• Diagnostic des pannes et assistance technique chez les clientsNous recherchons …,informatique / télécoms,,,,Tunis,SIVP | Stage/PFE | Saisonnier | Stage,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237973/technicien-r%C3%A9seaux-et-informatique/
237980,Chargé exploitation,SOTUMERIS,Mission principale : Traiter les renseignements bancaires. Assurer le traitement et le suivi des dossiers d’investigation économique. Activités principales : Traiter et vérifier les renseignements bancaires. Analyser et instruire les …,consulting / étude / stratégie,,,500 - 700 TND,"Ariana Ville, Ariana",SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237980/charge-exploitation/
237972,Chargé commercial et administratif,STE SBPI,"Nous sommes à la recherche d’un conseiller commercial et administratif : dynamique et talentueux pour rejoindre notre équipe de vente. Si vous êtes passionné(e) par la vente, vous avez d'excellentes …",commerce / vente / distribution,,,500 - 700 TND,"Sidi Hassine, Tunis",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237972/charg%C3%A9-commercial-et-administratif/
237952,Chauffeur,STE EXPERTS DE VITRAGE AUTOS,Nous recrutons un chauffeur-livreur pour assurer la livraison de nos produits auprès de nos clients.Missions :Charger et livrer les commandesRespecter les itinéraires et délais de livraisonVeiller au bon état du véhiculeAssurer un …,commerce / vente / distribution,,,30 - 100 TND,"Mornaguia, La Manouba",CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237952/chauffeur-livreur/
237286,Agent de sécurité Tunisia Mall,TUNTEX,"Nous recrutons pour nos magasins à Tunisia Mall et Soukra des agents de securité.Missions: •Veiller sur la sécurité des personnes et des biens de l’entreprise: personnel, clients, stock, fonds(caisse, coffre fort..), …",commerce / vente / distribution,,,,Ariana,,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237286/agent-de-s%C3%A9curit%C3%A9-tunisia-mall/
237245,Télévendeurs Energie et Telco,ACTIVE CONTACT,"Rejoignez notre équipe et boostez votre carrière en tant que télévendeur exceptionnel !Transformez chaque appel en opportunité, dominez les ventes et évoluez dans un environnement stimulant.📣 Active Contact recrute des télévendeurs …",call center / télévente,,,,"Centre ville, Tunis",CDI | SIVP,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237245/t%C3%A9l%C3%A9vendeurs-energie-et-telco/
237259,Chargé(e) Clientèle_Ariana,ADVANS TUNISIE MICROFINANCE,"Advans, groupe international de Microfinance Advans Tunisie œuvre dans le domaine du développement économique, avec l'objectif d'offrir aux entrepreneurs tunisiens exclus du système financier traditionnel, des services de crédit adaptés …",banque / finance / assurances,,,,Tunis,,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237259/charg%C3%A9e-client%C3%A8le_ariana/
237282,Continuous Improvement Engineer,HUBER SUHNER,"We are a leading Swiss multinational company with operations in Tunisia (Sousse), and we are looking for a highly motivated and experienced Continuous Improvement Engineer to strengthen our operational excellence …",industrie électro-mécaniques,,,,Sousse,CDI,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237282/continuous-improvement-engineer/
237262,Chargé(e) Clientèle_Jendouba,ADVANS TUNISIE MICROFINANCE,"Advans, groupe international de Microfinance Advans Tunisie œuvre dans le domaine du développement économique, avec l'objectif d'offrir aux entrepreneurs tunisiens exclus du système financier traditionnel, des services de crédit adaptés …",banque / finance / assurances,,,,Jendouba,,,2026-03-17,17 mars 2026,Non,Keejob,https://www.keejob.com/offres-emploi/237262/charg%C3%A9e-client%C3%A8le_jendouba/
